community,children,sex,age,treatment,deaths,persontime
KALLEY DEY BERI:BAMEY:LOGA-1,209,0.57416266,32.44976,0,10,163958.5
KALLEY DEY KAINA:BAMEY:LOGA-1,119,0.55462188,31.243698,0,6,94571
KALLEY FALWEL:MALLAN KOIRA:LOGA-2,119,0.54621851,30.647058,0,4,75816.5
KALLEY TASSI:KOTAKI:BOBOYE-4,122,0.56557375,31.204918,0,5,79031
KALLEY:MOUSSADEY BERI:LOGA,204,0.5147059,35.269608,1,11,161997.5
KAMBA DEY:LOGA:LOGA-2,167,0.55688626,30.880239,0,8,116741.5
KAMBE KOUBI:BOSSIA:BOBOYE-1,81,0.39506173,29.765432,1,7,54154.5
KANKANDI:KANKANDI:BOBOYE-3,248,0.56451613,31.185484,1,5,173531
KAREY KOPTO:BOSSIA:BOBOYE-1,173,0.47398844,30.248554,0,19,107828
KARRA BANDA:KANKANDI:BOBOYE-3,72,0.6388889,30.263889,0,5,47533
KATANGA:KOURO BERI:LOGA-1,188,0.50531918,31.05851,0,7,114805
KATO-KOIRA:SARGADJI:LOGA-2,81,0.55555558,33.209877,0,7,66474
KAWARA:HAOULAWAL:BOBOYE-3,106,0.49056605,31.603773,1,4,77194
KIBBA ADAMOU:KOSSEY:LOGA-1,101,0.56435645,31.425743,0,8,67066.5
KIBBA TOMBO:KOSSEY:LOGA-1,138,0.54347825,32.391304,0,17,91626
KIKIRIYA:FALMEY:BOBOYE-2,89,0.51685393,30.337078,0,5,61412
KIOTA OUMAROU (KIOTA:KIOTA:BOBOYE-3,310,0.52258062,30.103226,1,7,236566
KIOTA OUMAROU PEULH:KIOTA:BOBOYE-3,72,0.45833334,30,1,1,60258
KIRIKOYE:TONKOSSARE:BOBOYE-5,132,0.49242425,30.666666,1,1,43870.5
KISSIN KISSIN:KIOTA:BOBOYE-3,81,0.54320985,27.148148,1,6,55466.5
KO B A KOIRA:FALWEL:LOGA-1,227,0.49339208,31.748899,0,19,148262.5
KO DEY:MALLAN KOIRA:LOGA-2,260,0.52307695,30.503845,1,11,167045
KO DO:KOFFO:BOBOYE-4,308,0.5616883,31.629869,1,8,178154
KO IRA MAYAKI:TINOMA:BOBOYE-5,113,0.56637168,32.513275,0,3,75712.5
KOBA DO:KOBODEYE:BOBOYE-3,47,0.36170211,31.829786,0,4,33366.5
KOBARDJIKOYE:KOGOU:LOGA-1,118,0.50847459,31.415255,0,6,81677.5
KOBE KIRE:ZOUZOU BERI:BOBOYE,92,0.53260869,29.923914,1,6,72675
KOBEDEY:KOBODEYE:BOBOYE,352,0.53125,30.980114,1,14,249165
KOBERI (gorkodey):TOULLOU MAIMASSA:LOGA-2,67,0.47761193,31.268656,0,2,46179.5
KOBERI BANI KOUBEY:KOYGOLO:BOBOYE-4,99,0.49494949,31.262627,0,4,76720.5
KOBIMADE:TOULLOU MAIMASSA:LOGA-2,114,0.45614034,28.81579,0,8,74093
KOBIRI GARBA:KOYGOLO:BOBOYE-4,195,0.48205128,31.71282,0,7,143860
KOBOLLO ELHADJE DEY:KOSSEY:LOGA-1,96,0.54166669,32.958332,1,6,68717.5
KOBOLLO YAMBA:KOSSEY:LOGA-1,96,0.51041669,31.229166,1,6,63970
KODJALEY:KOFFO:BOBOYE-4,65,0.60000002,34.49231,1,6,55994
KOFITI:AYO KOIRA:LOGA-1,159,0.49685535,32.767296,1,6,108034
KOFO:KOFFO:BOBOYE-4,126,0.46825397,30.968254,1,4,96139
KOFOUNO:TINOMA:BOBOYE-5,159,0.55974841,28.232704,0,8,126787
KOGOROU:SARGADJI:LOGA-2,183,0.52459013,31.169399,1,4,145117
KOGOU:KOGOU:LOGA-1,377,0.50132626,31.618036,0,23,248086.5
KOHINZA:TINOMA:BOBOYE-5,62,0.41935483,29.483871,1,1,45291
KOIRA HABI:TINOMA:BOBOYE-5,112,0.58928573,31.464285,0,3,84266.5
KOIRA TEGUI:LOGA:LOGA-2,347,0.4870317,30.048992,0,25,245003.5
KOISSI HAOUSSA:KOISSI:BOBOYE-4,83,0.48192772,28.578314,0,3,69573.5
KOKIREY KOUARA TEGUI:KOKIRE MODI:LOGA-1,109,0.52293581,29.449541,0,10,76609
KOKIREY MODI:KOKIRE MODI:LOGA-1,294,0.47619048,31.795918,1,19,191732.5
KOKIREY PEULH:KOKIRE MODI:LOGA-1,18,0.5,32.444443,0,0,13753
KOKOIRA MODI:FALWEL:LOGA-1,143,0.56643355,30.601398,0,18,94926.5
KOKORBE:SARGADJI:LOGA-2,352,0.49715909,31.727272,1,13,277989
KOKOSSORMA:FANDOU:BOBOYE-2,156,0.68589741,30.615385,0,6,112612.5
KOKOUKOU:FALWEL:LOGA-1,144,0.54166669,33.548611,0,5,90862
KOLABOSSEYE:KOYGOLO:BOBOYE-4,132,0.57575756,30.583334,1,4,94779
KOLBOU DJERMA:KIOTA:BOBOYE-3,378,0.54232806,31.298943,1,17,296412.5
KOLBOU PEULH:KIOTA:BOBOYE-3,64,0.5625,31.671875,1,4,48964.5
KOLOMKOLOM ALFA:KOISSI:BOBOYE-4,80,0.58749998,28.825001,0,10,58077
KOLOMKOLOM:KOISSI:BOBOYE-4,41,0.56097561,29.682926,0,3,32580
KOMA GUINDIBERI:KOURINGUEL:BOBOYE-4,95,0.54736841,30.4,1,3,71687.5
KOMABARMA:BOSSIA:BOBOYE-1,83,0.51807231,28.481928,1,4,55693.5
KOMAGUINDI PEULH:KOURINGUEL:BOBOYE-4,77,0.50649351,34.168831,1,1,52083.5
KOMAGUINDI ZOU:KOURINGUEL:BOBOYE-4,104,0.42307693,28.5,1,2,77287.5
KOMDILLI BERI:MOUSSADEY BERI:LOGA-2,207,0.49758455,32.106281,1,14,176798
KOMDILLI DAREY:MOUSSADEY BERI:LOGA,266,0.556391,32.492481,1,14,222531
KONA:FALWEL:LOGA-1,117,0.58974361,29.512821,0,11,76408.5
KONGORE PEULH:KOYGOLO:BOBOYE-4,62,0.48387095,33.209679,1,2,44772.5
KOPTCHITANDA KAINA:GUILLADJE:BOBOYE-2,114,0.43859649,27.850878,0,6,87028
KORON KASSA DJAOUBE:KARRA:BOBOYE-3,77,0.54545456,32.441559,0,6,75613
KORONKASSA DJERMA:KARRA:BOBOYE-3,115,0.42608696,32.008698,1,5,81141
KORONKASSA PEULH:KARRA:BOBOYE-3,200,0.5,33.68,0,12,146230.5
KOSSEY GOROU:FALWEL:LOGA-1,98,0.55102038,30.540817,1,4,60710.5
KOSSEY KOY KOIRA (longro KK):LOGA:LOGA-2,98,0.55102038,29.387754,1,3,69225.5
KOSSEY:KOSSEY:LOGA-1,490,0.48367348,30.479591,1,15,334967
KOUANIA KOIRA:KANKANDI:BOBOYE-3,53,0.50943398,28.981133,0,0,38291.5
KOUARA TAGUI:KOFFO:BOBOYE-4,108,0.5925926,31.703703,0,9,89281.5
KOUASSI PEULH:KOISSI:BOBOYE-4,186,0.44623655,29.634409,1,9,128884
KOUBOU KOIRA DJERMA:GOUBEZENO:BOBOYE-2,76,0.60526317,30,1,3,59412
KOUBOUBANGOU (BATOURE):KOKIRE MODI:LOGA-1,171,0.47953215,29.818714,0,11,123271.5
KOUBOUBANGOU:KOKIRE MODI:LOGA-1,108,0.51851851,33.129631,0,6,68536
KOUBOUBI KOURA:TINOMA:BOBOYE-5,209,0.42583731,32.29665,1,6,171953.5
KOUBOUBO SORI:HARIKANASSOU:BOBOYE-3,161,0.57763976,33.577641,0,6,145880.5
KOUDA GANDE:BIRNI:BOBOYE-1,90,0.54444444,27.51111,0,6,70540.5
KOUDJE BERI:FALMEY:BOBOYE-2,121,0.5289256,32.099174,1,3,73928
KOULOU DJERMA:GOUBEZENO:BOBOYE-2,149,0.55704701,31.221476,1,8,98412
KOULOU PEULH (GAO:GOUBEZENO:BOBOYE-2,55,0.45454547,30.927273,1,2,44700.5
KOUMBOU GONI KOIRA:KOISSI:BOBOYE-4,125,0.54400003,26.32,1,16,101250.5
KOUNBOURFOU:BOSSIA:BOBOYE-1,109,0.61467892,26.926605,1,4,82698.5
KOUNTOURE (KOULOU:GOUBEZENO:BOBOYE-2,49,0.65306121,33.408165,0,4,38123
KOURA PEULH:SABOULA:BOBOYE-5,33,0.4848485,27.272728,0,3,21768.5
KOURA:SABOULA:BOBOYE-5,55,0.5272727,31.963636,0,3,34056
KOUREY KOY KOIRA:KOYGOLO:BOBOYE-4,76,0.53947371,32.61842,1,0,60006
KOURFARE:HAOULAWAL:BOBOYE-3,262,0.48091602,28.889313,1,11,204825.5
KOURINGUEL MAYAKI:KOURINGUEL:BOBOYE-4,173,0.52023119,34.265896,0,9,143277
KOURO BERI:KOURO BERI:LOGA-1,123,0.56097561,31.943089,0,2,76029
KOURO KAINA:KOURO BERI:LOGA-1,144,0.45833334,31.881945,1,5,88426.5
KOUSSA KOIRA:TEGUEZE KOIRA:LOGA-2,127,0.57480317,31.362206,1,7,80448
KOUSSA LABOU:SABOULA:BOBOYE-5,178,0.43820226,29.151686,0,5,119575
KOUTOU KOIRA:LOGA:LOGA-2,325,0.56615382,30.430769,0,25,230650.5
KOYDOU PEULH:YENI:BOBOYE-5,42,0.59523809,31.595238,1,1,28812
KOYKONA KOIRA:FALWEL:BOBOYE,313,0.42172524,32.153355,1,18,213182.5
LABI TOUNGA:TINOMA:BOBOYE-5,44,0.63636363,32.863636,1,3,28447
LABOUDDA:KOURO BERI:LOGA-1,142,0.55633801,30.007042,1,12,95075.5
LADAN DEY:KOURO BERI:LOGA-1,127,0.44094488,30.007874,1,11,101989
LADANEDJI DJERMA:TONKOSSARE:BOBOYE-5,328,0.56402439,29.911585,1,6,195036.5
LADENEDJO PEULH:TONKOSSARE:BOBOYE-5,87,0.42528737,33.563217,1,3,57398
LAOUGOUMBI:KOGOU:LOGA-1,178,0.54494381,31.073034,1,4,121933
LARA:FABIDJI:BOBOYE-2,64,0.578125,29.40625,1,7,40193.5
LOGA PEULH:LOGA:LOGA-2,4,0.5,39,1,0,2772
LONGUERI:BELANDE:BOBOYE-1,112,0.5089286,30.017857,1,5,62397.5
LOUGA I:TINOMA:BOBOYE-5,93,0.41935483,30.333334,0,2,68639.5
LOUGA III:TINOMA:BOBOYE-5,59,0.57627118,29.559322,1,2,39343.5
LOUGOUDJAM BORNO:BELANDE:BOBOYE-1,178,0.51123595,30.320225,0,7,85760.5
LOUGOUDJAM:BELANDE:BOBOYE-1,160,0.51875001,29.456249,1,4,100073
LOULOUDJE DJERMA:TINOMA:BOBOYE-5,257,0.5252918,31.163424,1,12,231265
LOULOUDJE PEULH:TINOMA:BOBOYE-5,45,0.48888889,37.222221,1,0,32658.5
LOUMBOU LOUMBOU:FABIDJI:BOBOYE-2,147,0.46938777,29.605442,0,8,84471
LOUTOU KOIRA:LOGA:LOGA-2,137,0.44525549,31.014599,0,8,102280
M BALLA DAOUDA:TOULLOU MAIMASSA:LOGA-2,127,0.48818898,31.417322,1,5,76061.5
M BALLA DJIBRILLA:TOULLOU MAIMASSA:LOGA-2,157,0.52229297,30.394905,0,4,104073.5
MADINA (toulou):TOULLOU MAIMASSA:LOGA-2,110,0.5,29.49091,1,7,72816.5
MADINA:KOFFO:BOBOYE-4,49,0.40816328,30.714285,1,0,32422
MADOU:MADOU:LOGA-2,403,0.52605456,33.012405,0,15,315002.5
MAILAREYE ZARMA:KIOTA:BOBOYE-3,135,0.53333336,33.207409,0,5,95953.5
MAITCHIGO:MALLAN KOIRA:LOGA-2,84,0.42857143,30.702381,1,4,60696
MAITOURARE (dey):KOGOU:LOGA-1,82,0.42682928,31.682926,0,6,49453.5
MALAM KOIRA:TONKOSSARE:BOBOYE-5,96,0.42708334,31.010416,0,4,65406.5
MALLAM KO IRA:MALLAN KOIRA:LOGA-2,392,0.48979592,30.854591,0,12,258836.5
MAOULEZEY KOIRA:KOISSI:BOBOYE-4,44,0.38636363,29.136364,0,4,32081.5
MAOUREY DEY (Bani tombo):AYO KOIRA:LOGA-1,100,0.47,29.27,0,5,70812
MAOUREY DEY (tegoize koira):TEGUEZE KOIRA:LOGA-2,108,0.50925928,28.398148,1,2,68631.5
MAOUREYDO:KOYGOLO:BOBOYE-4,56,0.5535714,29.053572,0,1,45390.5
MARAFA KOUARA:TEGUEZE KOIRA:LOGA-2,252,0.49603173,30.59127,0,19,157788
MARGOU GANDA:BIRNI:BOBOYE-1,80,0.52499998,27.975,1,1,53019
MARIKO:KOSSEY:LOGA-1,80,0.5625,28.75,0,12,51606
MAROU BERI SEKOU:KOFFO:BOBOYE-4,129,0.55813956,30.511627,0,12,101340.5
MAROU BERI TAGUI:KOFFO:BOBOYE-4,380,0.55526316,31.902632,1,9,274360
MARR KOIRA ZENO:KOURO BERI:LOGA-1,52,0.48076922,27.346153,0,5,31686
MAYA KOIRA:KANKANDI:BOBOYE-3,51,0.627451,25.019608,1,1,39090.5
MAYAKI-KOIRA:SARGADJI:LOGA-2,178,0.48876405,32.657303,1,9,126697
MENE:BIRNI:BOBOYE-1,68,0.41176471,33.632355,1,3,41892.5
MIDOUWARA:SARGADJI:LOGA-2,106,0.53773582,34.301888,0,4,75239.5
MILLEY DO:KARRA:BOBOYE-3,136,0.46323529,32.551472,0,5,83106.5
MINGUI PEULH:KOBODEYE:BOBOYE-3,42,0.59523809,32.190475,0,2,27163
MINGUI:KOBODEYE:BOBOYE-3,63,0.46031746,29.619047,1,4,45374
MISSIRA:KOISSI:BOBOYE-4,43,0.62790698,32.860466,0,1,32232.5
MOUSSA DEY KAINA:TEGUEZE KOIRA:LOGA-2,339,0.50147492,31.923304,1,16,221420
N'GONGA PEULH:TINOMA:BOBOYE-5,100,0.44,31.440001,0,7,77664.5
N'GONGA ZARMA:TINOMA:BOBOYE-5,258,0.50775194,28.589148,1,10,177077
NATANGOU:GUILLADJE:BOBOYE-2,18,0.55555558,31.666666,0,3,14579
NAZAMNE (BOUKI):BOUKI:LOGA-1,304,0.50986844,32.200657,1,12,259528.5
NAZAMNE (KIOTA):KIOTA:BOBOYE-3,151,0.52980131,29.013245,1,5,121685
NIABERE BELLA:HARIKANASSOU:BOBOYE-3,122,0.57377046,30.237705,1,0,115208
NIABERE DJAMBE:KOURINGUEL:BOBOYE-4,187,0.52941179,32.759357,1,9,170723.5
NIABERE KAINA:HARIKANASSOU:BOBOYE-3,215,0.46976745,30.995348,0,12,150489
NIABERE MOULAY:HARIKANASSOU:BOBOYE-3,250,0.456,33.220001,0,10,166134
NIABERE PEULH:HARIKANASSOU:BOBOYE-3,141,0.55319148,32.631207,1,3,109360.5
NIAMODEY:BELANDE:BOBOYE-1,88,0.47727272,29.738636,0,1,61065.5
NILLEY KO IRA:KIOTA:BOBOYE-3,61,0.54098362,29.819672,1,2,50799
NOTINGEL (MOUMBENA):ZOUZOU BERI:BOBOYE,197,0.47715735,29.918781,1,16,133582
OUDE ALI (OUDE ZARMA):KIOTA:BOBOYE-3,94,0.61702126,27.457447,1,3,63594
OUDE ALI PEULH:KIOTA:BOBOYE-3,69,0.49275362,31.231884,1,2,53930.5
OUDE DOURFAI PEULH:KIOTA:BOBOYE-3,18,0.3888889,39,1,0,24706
OUDE SEYDOU:KIOTA:BOBOYE-3,148,0.5,34.905407,1,4,105631
OULEY:BIRNI:BOBOYE-1,85,0.52941179,31.917646,1,3,61015
OULHALE DJERMA:KOURINGUEL:BOBOYE-4,56,0.44642857,31.5,0,2,60899
OURGAL:KARRA:BOBOYE-3,36,0.5,34.555557,0,4,36153.5
PEULH NORD II:FALWEL:LOGA-1,20,0.44999999,32.25,0,1,13866
POUNGA:ZOUZOU BERI:BOBOYE-5,278,0.5143885,31.226618,1,15,184192
RODJI ALFA OUSMAN:FABIDJI:BOBOYE-2,47,0.55319148,31.872341,1,1,30580.5
RODJI PEULH:FABIDJI:BOBOYE-2,253,0.51778656,29.450592,1,16,150280.5
ROND POINT (ROND POINT GENDARM:KOTAKI:BOBOYE-4,51,0.52941179,31.921568,0,5,33132.5
SADAN KOIRA:GUILLADJE:BOBOYE-2,27,0.55555558,25.407408,1,1,18071.5
SAFA DOUNGOUMI:ZOUZOU BERI:BOBOYE-5,162,0.61728394,31.950617,0,3,94732
SAFA KAINA (BABA SIDI:YENI:BOBOYE-5,96,0.55208331,33.21875,0,4,103001.5
SAFA PATCHAK (SISSIRO:YENI:BOBOYE-5,181,0.57458562,28.016575,0,4,129185
SAFA PATCHAK PEULH:YENI:BOBOYE-5,62,0.54838711,32.69355,0,2,53241
SAKALA GONGA ZARMA:BOSSIA:BOBOYE-1,83,0.44578314,29.710844,1,3,60724.5
SAKALA GONGA:BOSSIA:BOBOYE-1,184,0.43478259,28.798914,1,11,83706.5
SAKARA:TONKOSSARE:BOBOYE-5,46,0.45652175,26.456522,0,1,34701
SAKIREY ZERMA:BIRNI:BOBOYE-1,50,0.60000002,32.240002,0,1,31967.5
SAKOUARA:KOURO BERI:LOGA-1,143,0.47552449,30.202797,0,8,96227.5
SAM E Y KO IRA (KALEY TASSI SA:KOTAKI:BOBOYE-4,93,0.50537634,28.666666,1,6,63073
SAMBA KOIRA:KANKANDI:BOBOYE-3,148,0.46621621,30.006756,0,13,101100
SAMBO KOIRA:TEGUEZE KOIRA:LOGA-2,78,0.55128205,30.679487,1,4,48124.5
SAMDE MOUSSA:HARIKANASSOU:BOBOYE-3,51,0.56862748,33.882355,0,1,44231.5
SANDA KOIRA:GUILLADJE:BOBOYE-2,34,0.61764705,28.852942,0,1,20225
SANSARE:GUILLADJE:BOBOYE-2,75,0.44,33.133335,0,3,42158
SARKI DEY:KOSSEY:LOGA-1,34,0.32352942,31.735294,1,1,26884.5
SARKIN NOMA KOIRA:FALWEL:BOBOYE,147,0.45578232,28.591837,1,17,111444.5
SE KO DEY:KOURO BERI:LOGA-1,108,0.47222221,31.703703,1,7,65256.5
SENO PEULH:BIRNI:BOBOYE-1,98,0.52040815,34.132652,1,2,50989
SETTI 2:BIRNI:BOBOYE-1,53,0.47169811,36.452831,0,1,23063.5
SILINKE:BIRNI:BOBOYE-1,217,0.48847926,31.562212,1,4,101611.5
SILLIA:BIRNI:BOBOYE-1,44,0.45454547,35.159092,1,0,32859.5
SINSAN ISSAKA:SOKORBE:LOGA-2,126,0.56349206,31.626984,0,6,100434.5
SINSAN KOIRA TAGUI:SOKORBE:LOGA-2,65,0.44615385,31.184616,1,4,51457.5
SINSAN KOUARAZENO:SOKORBE:LOGA-2,121,0.54545456,31.231405,0,4,100007.5
SINSANE BANGOU:FABIDJI:BOBOYE-2,48,0.54166669,29.75,0,3,25141.5
SIRA LELESSO:FABIDJI:BOBOYE-2,73,0.46575344,29.534246,0,3,46729.5
SIRA:FABIDJI:BOBOYE-2,61,0.47540984,33.557377,0,3,35476
SONGAI KOIRA:GUILLADJE:BOBOYE-2,20,0.40000001,26.75,0,0,13727.5
SORI KOIRA DABAGA:SABOULA:BOBOYE-5,137,0.5182482,29.905109,1,9,86384
SORI KOIRA ZENO:SABOULA:BOBOYE-5,55,0.45454547,32.072727,0,1,30701
SORKO TOMBO:LOGA:LOGA-2,78,0.41025642,30.320513,1,4,49340
SORKO:LOGA:LOGA-2,205,0.50243902,31.751219,1,15,138693
SOSSO BANGOU:HAOULAWAL:BOBOYE-3,186,0.53763443,27.290323,1,7,158582.5
SOUDA AHIJO:KANKANDI:BOBOYE-3,138,0.54347825,31.050724,0,6,100438.5
SOUDA ALFAGA KOIRA:BELANDE:BOBOYE-1,58,0.56896549,32.189655,0,2,41905.5
SOUDA ANABO:KANKANDI:BOBOYE-3,61,0.49180329,27,0,4,43634
SOUDA HAINI BABA:BELANDE:BOBOYE-1,74,0.55405408,32.013512,0,5,45676
SOUDA PEULH:KANKANDI:BOBOYE-3,95,0.46315789,32.326317,0,6,76991.5
SOUDJEY DEY:BOUKI:LOGA-1,111,0.45945945,32.18919,0,4,98109.5
SOUMANA DEY:KOSSEY:LOGA-1,69,0.47826087,31.231884,0,4,51256.5
SOUNTA DEY:SARGADJI:LOGA-2,74,0.54054052,31.756756,0,3,59752.5
SOURGOUROU:KOURINGUEL:BOBOYE-4,67,0.56716418,29.880596,1,2,47176
TADE DJERMA (TADE BERI):GOUBEZENO:BOBOYE-2,167,0.43712574,29.407187,0,6,133871
TADE GOROU (IDI BERI KOIRA):GOUBEZENO:BOBOYE-2,53,0.4528302,31.773584,0,1,41415
TADE PEULH (TADE KAINA):GOUBEZENO:BOBOYE-2,122,0.53278691,29.262295,1,3,83461
TAIFA:FABIDJI:BOBOYE-2,64,0.53125,29.71875,0,8,37150
TAKARE:KOURO BERI:LOGA-1,84,0.44047618,32.690475,0,5,50876
TALANTEGOU I:BOSSIA:BOBOYE-1,74,0.45945945,29.405405,0,6,45133
TALLADJE:TEGUEZE KOIRA:LOGA-2,86,0.5,27.39535,1,10,57367.5
TALLADJEYE:KOYGOLO:BOBOYE-4,79,0.5316456,34.658226,1,0,57670
TALLAWOUL:BELANDE:BOBOYE-1,392,0.4872449,30.045918,1,11,251214.5
TAMBOBALLEY:KOFFO:BOBOYE-4,48,0.60416669,26.458334,1,3,46706
TAMKALA GORKO:BIRNI:BOBOYE-1,206,0.48058254,32.864079,1,1,132119
TAMKALA SOPPODOU:BIRNI:BOBOYE-1,59,0.50847459,33.542374,1,4,35348
TANGOU KOIRA:TEGUEZE KOIRA:LOGA-2,166,0.57228917,31.873493,1,14,108978
TANNA BERI:KOBODEYE:BOBOYE,299,0.55183947,30.217392,0,28,219337
TANNA KAINA:KOBODEYE:BOBOYE-3,240,0.47499999,32.079166,1,20,167236.5
TASSIBON DJERMA:GUILLADJE:BOBOYE-2,74,0.5945946,29.608109,0,5,55250
TASSIYA:SARGADJI:LOGA-2,108,0.55555558,34.203705,0,7,86547.5
TASSOGA:KOISSI:BOBOYE-4,53,0.41509435,28.037735,1,3,40989.5
TCHAFALKOLI (KO HINZA):GOUBEZENO:BOBOYE-2,71,0.52112675,31.535212,1,2,56957
TCHAIGAWA:BIRNI:BOBOYE-1,104,0.47115386,30.163462,1,4,66152
TCHAMEY ZAMAY DO:BELANDE:BOBOYE-1,78,0.57692307,30.666666,0,4,48962
TCHANGA KOIRA:KOTAKI:BOBOYE-4,62,0.51612902,30.241936,0,2,40479.5
TCHANGUE:GUILLADJE:BOBOYE-2,166,0.54216868,27.939758,1,5,64027
TCHANTCHOGA PEULH:TONKOSSARE:BOBOYE-5,156,0.47435898,29.564102,1,1,87841.5
TCHANTIOGA ZARMA:TONKOSSARE:BOBOYE-5,156,0.6025641,33.141026,1,2,102649.5
TCHEDE BONHAMNI:TINOMA:BOBOYE-5,109,0.50458717,32.321102,0,5,89431.5
TCHENA ( PEULH):KOTAKI:BOBOYE-4,24,0.41666666,39,0,0,11707
TCHENA (GUILLADJE):GUILLADJE:BOBOYE-2,55,0.47272727,25.727272,1,0,37949.5
TCHERANGUI:BIRNI:BOBOYE-1,82,0.43902439,30.060976,0,4,56873.5
TCHIAMBOU GUINDE:BOUKI:LOGA-1,72,0.56944442,32.472221,1,1,55645.5
TCHINDJEWA (DEY):SOKORBE:LOGA-2,105,0.51428574,30.771429,1,6,96308
TCHOULLANDE KAINA:YENI:BOBOYE-5,21,0.33333334,30.380953,0,0,17382
TEGOIZE KOIRA:TEGUEZE KOIRA:LOGA-2,76,0.43421054,32.263157,1,4,47822
TIGUEY-PEULH:BELANDE:BOBOYE,94,0.46808511,31.946808,0,9,53258
TIGUEYE:BELANDE:BOBOYE-1,268,0.58208954,30.63806,1,10,169077
TIHORE PEULH:FABIDJI:BOBOYE-2,83,0.50602412,30.325302,0,0,47996
TIHORE:FABIDJI:BOBOYE-2,134,0.57462686,29.380596,0,6,84637.5
TILLI KERI:MALLAN KOIRA:LOGA-2,67,0.49253732,30.820896,0,4,44908.5
TINOMA:TINOMA:BOBOYE-5,186,0.51612902,30.688171,0,2,114341.5
TIOULAN:KOSSEY:LOGA-1,96,0.46875,30.802084,1,4,75394.5
TOLE (BERI):KOSSEY:LOGA-1,75,0.53333336,28.666666,0,6,47231
TOMBO ( Ganda):LOGA:LOGA,411,0.42335767,41.223843,0,4,238379
TOMBO BALLEY DJERMA:KOFFO:BOBOYE-4,123,0.47154471,29.796747,0,3,88856
TOMBO BALLEY SEMO:KOFFO:BOBOYE-4,132,0.54545456,31.969696,1,1,71446.5
TOMBO HASSANE:FABIDJI:BOBOYE-2,98,0.5,30.05102,0,5,63345.5
TOMBO PEULH:KIOTA:BOBOYE-3,60,0.46666667,30.716667,0,0,37996
TOMBO TAMEYE:KOSSEY:LOGA-1,162,0.51234567,33.092594,0,11,112296.5
TON DO 1:FABIDJI:BOBOYE-2,417,0.47721821,28.582733,0,38,247971.5
TON DO 2:FABIDJI:BOBOYE-2,42,0.5,23.214285,0,3,23545.5
TON KOSSAREY ZARMA:TONKOSSARE:BOBOYE-5,47,0.5106383,34.553192,0,2,34753.5
TONDI BABA FARI:MOUSSADEY BERI:LOGA-2,54,0.3888889,35.5,1,1,45572
TONDI KOUREY:KANKANDI:BOBOYE-3,43,0.58139533,31.465117,0,3,32209.5
TONKOSSAREY PEULH:TONKOSSARE:BOBOYE-5,39,0.58974361,34.76923,0,1,22396
TOUDOROU:BELANDE:BOBOYE-1,81,0.50617284,30.802469,1,1,57788
TOUGAY:DARSALAM:LOGA-1,40,0.375,29.775,1,2,29510.5
TOULOU KAOUREY:DARSALAM:LOGA-1,170,0.51764709,28.064707,1,10,124052.5
TOUNFALIS YACOUBA:TOULLOU MAIMASSA:LOGA-2,95,0.47368422,29.547369,1,3,65393.5
TOUNGA BALLEY:HARIKANASSOU:BOBOYE-3,64,0.5625,29.46875,1,1,35292
TOUNGA GUINGO:BOSSIA:BOBOYE-1,84,0.4642857,28.011906,0,8,59903
TOUNGA YAMBA ( SOUDA BERI):KANKANDI:BOBOYE-3,62,0.58064514,32,1,3,39225
TOUNGA:GUILLADJE:BOBOYE-2,59,0.61016947,31.20339,0,6,39759.5
TOUREY BON:DARSALAM:LOGA-1,77,0.48051947,31.935064,1,6,49751
TOUROU TOUROU KOIRA:BELANDE:BOBOYE-1,358,0.56983238,29.368715,0,15,226927
WADATA:TEGUEZE KOIRA:LOGA-2,216,0.55555558,29.162037,1,16,138084
WALA TANOU:BIRNI:BOBOYE-1,92,0.52173913,30.652174,1,2,57693
WALI KOIRA:LOGA:LOGA-2,79,0.48101267,29.379747,0,7,50153.5
WANZAM KOIRA:LOGA:LOGA-2,116,0.51724136,29.965517,0,2,73279.5
WAZEY (BATCHAKA):SOKORBE:LOGA-2,110,0.55454546,33.109093,1,4,78765.5
WAZEY BOUNGA:KOFFO:BOBOYE-4,58,0.60344827,28.758621,1,0,28920
WAZEY DABA BANDA:KOFFO:BOBOYE-4,24,0.5,29.375,0,3,35531.5
WAZEY SOUDINGA:KOFFO:BOBOYE-4,40,0.34999999,30.6,1,2,31553.5
WAZEY:KOFFO:BOBOYE-4,58,0.60344827,30.068966,1,1,57236
WAZIRI KOIRA:LOGA:LOGA-2,143,0.56643355,32.055943,1,3,113024
WERE DJATAME (DJERMA):HAOULAWAL:BOBOYE-3,68,0.45588234,31.102942,0,4,51057
WINDE:BIRNI:BOBOYE-1,41,0.41463414,35.756096,0,2,28928.5
WINDI BAGO:BELANDE:BOBOYE-1,305,0.47540984,32.380329,1,7,179376
YAGARMEYE:KOYGOLO:BOBOYE-4,61,0.55737704,37.47541,1,2,47192
YEDA:KOYGOLO:BOBOYE-4,353,0.47875354,32.37677,0,17,245787.5
YELEO:BIRNI:BOBOYE-1,115,0.5043478,31.852175,0,0,48693
YELLA KAINA:TONKOSSARE:BOBOYE-5,72,0.55555558,31.347221,1,3,49232.5
ZABIA KOIRA:TEGUEZE KOIRA:LOGA-2,325,0.50153846,30.344616,0,14,209745
ZAGORE:HARIKANASSOU:BOBOYE-3,108,0.47222221,32.814816,0,4,93804
