# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Jun 15 00:02:19 PDT 2022 [seed=2020]
# -seed 2020 -beagle_double -beagle_gpu -save_every 1000000 -save_state Beast.chkpt -overwrite ./SnYFV.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(untitled0)	age(untitled0)	constant.popSize	CP1.kappa	CP2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1.alpha	CP2.alpha	CP3.alpha	CP1.nu	CP2.nu	CP3.nu	CP1.mu	CP2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-17952.92986224148	-218.97376703666617	-17733.956095204812	71.91560942140612	1937.084390578594	131.66533249442813	55.986308916143706	1953.0136910838562	1.0	2.0	2.0	2.0	0.2500000002	0.2500000001	0.2499999999	0.24999999979999998	0.5	0.5	0.5	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0	1.0	1.0	1.0	-17733.956095204812	0.0	-81.91794573438406
100	-16514.168264297685	-199.20731719240683	-16314.960947105277	71.67851079313463	1937.3214892068654	135.43700581588146	55.986308916143706	1953.0136910838562	1.283739775546652	2.6238406720710126	2.0	2.2837130076475893	0.2500000002	0.2500000001	0.2499999999	0.24999999979999998	0.5	0.5	0.3777429823175579	0.3333333333333333	0.3201017458176914	0.3465649208489752	1.0	0.9603052374530743	1.0396947625469257	0.7796751577580389	0.7796751577580389	-16314.960947105277	0.0	-88.00144613883815
200	-15922.584232885793	-209.33648626205007	-15713.247746623743	71.30789250002968	1937.6921074999702	149.1578962906585	55.986308916143706	1953.0136910838562	1.2646934056478458	2.6238406720710126	1.9508893491477222	2.2837130076475893	0.2500000002	0.2500000001	0.2499999999	0.24999999979999998	0.5	0.5	0.3777429823175579	0.3349668392278042	0.31669552610071544	0.3483376346714803	1.0049005176834125	0.9500865783021464	1.045012904014441	0.6514669335440406	0.6514669335440407	-15713.247746623743	0.0	-106.72873760973931
300	-15485.558312048834	-217.27602851866598	-15268.282283530167	71.30789250002968	1937.6921074999702	153.80447878778622	55.986308916143706	1953.0136910838562	1.4379874103749328	2.6238406720710126	1.9508893491477222	2.2837130076475893	0.2500000002	0.2500000001	0.25059190269782167	0.24940809700217828	0.5	0.5	0.3777429823175579	0.32689503046098545	0.3247673348675342	0.3483376346714803	0.9806850913829563	0.9743020046026025	1.045012904014441	0.638695268236252	0.6386952682362522	-15268.282283530167	0.0	-113.50324766017827
400	-14862.489573990313	-197.98610306574952	-14664.503470924563	70.53325118853843	1938.4667488114615	152.3939569999834	55.986308916143706	1953.0136910838562	1.7397374366806373	2.6238406720710126	2.021116036024361	2.2837130076475893	0.2500000002	0.2500000001	0.25059190269782167	0.24940809700217828	0.3949887559099188	0.5	0.3777429823175579	0.3179276450768664	0.33373472025165324	0.3483376346714803	0.9537829352305991	1.0012041607549598	1.045012904014441	0.5367179235088638	0.5367179235088642	-14664.503470924563	0.0	-110.72962507037323
500	-14281.74011069051	-210.9717346515038	-14070.768376039006	70.1011078223621	1938.898892177638	156.7935364196402	55.986308916143706	1953.0136910838562	2.02306102076697	2.6238406720710126	2.021116036024361	2.770741840297123	0.2500000002	0.2500000001	0.25059190269782167	0.24940809700217828	0.3949887559099188	0.5	0.3777429823175579	0.3179276450768664	0.33373472025165324	0.3483376346714803	0.9537829352305991	1.0012041607549598	1.045012904014441	0.5367179235088638	0.5367179235088637	-14070.768376039006	0.0	-121.03411687147893
600	-13656.163009985055	-215.25580712529	-13440.907202859766	69.64639329168314	1939.3536067083169	157.92440260330423	55.986308916143706	1953.0136910838562	2.02306102076697	2.6238406720710126	2.5739898928401708	2.770741840297123	0.2401376059054757	0.2500000001	0.25059190269782167	0.2592704912967026	0.3949887559099188	0.38113876131451724	0.3777429823175579	0.316500862195766	0.3351615031327536	0.3483376346714803	0.949502586587298	1.005484509398261	1.045012904014441	0.5367179235088638	0.5367179235088635	-13440.907202859766	0.0	-124.73789314376204
700	-13207.89828065506	-242.24241252644464	-12965.655868128615	70.34572716130444	1938.6542728386955	191.8961684049617	56.82203923003252	1952.1779607699675	2.0146548313091936	3.2379052176006136	2.2961419843590853	2.8355410610083736	0.2401376059054757	0.2500000001	0.25059190269782167	0.2592704912967026	0.35163173776552764	0.38113876131451724	0.3777429823175579	0.30456137050484156	0.3386892473037407	0.35674938219141766	0.9136841115145247	1.0160677419112223	1.070248146574253	0.3690673467305781	0.3690673467305782	-12965.655868128615	0.0	-165.90109113332701
800	-12903.19308868729	-221.52760026574165	-12681.66548842155	69.78926461589766	1939.2107353841022	192.54354471212724	56.82203923003252	1952.1779607699675	2.5603574304814356	3.2379052176006136	2.1808018066402584	2.8355410610083736	0.2401376059054757	0.2500000001	0.25059190269782167	0.2592704912967026	0.35163173776552764	0.38113876131451724	0.3777429823175579	0.31331495796745445	0.3329567624583088	0.3537282795742367	0.9399448739023634	0.9988702873749264	1.06118483872271	0.28543147269481206	0.2854314726948121	-12681.66548842155	0.0	-160.98692637751267
900	-12772.256911704135	-209.099420038919	-12563.157491665215	70.05277149688136	1938.9472285031186	192.15024657992598	56.82203923003252	1952.1779607699675	2.4502719175870773	3.2379052176006136	2.1808018066402584	2.8355410610083736	0.2425398555111912	0.2500000001	0.25059190269782167	0.2568682416909871	0.35163173776552764	0.38113876131451724	0.47766376403451416	0.3080499862833793	0.33822173414238393	0.3537282795742367	0.924149958850138	1.0146652024271519	1.06118483872271	0.22049679671234884	0.22049679671234876	-12563.157491665215	0.0	-161.12032719413455
1000	-12399.944857410701	-205.7518776790563	-12194.192979731644	69.97810583082355	1939.0218941691764	199.9966435921637	56.82203923003252	1952.1779607699675	2.5585046227657853	3.2379052176006136	3.7611176082796045	2.8355410610083736	0.2425398555111912	0.2500000001	0.25059190269782167	0.2568682416909871	0.35163173776552764	0.38113876131451724	0.47766376403451416	0.3157185556871105	0.33055316473865276	0.3537282795742367	0.9471556670613315	0.9916594942159582	1.06118483872271	0.16555911323411673	0.16555911323411684	-12194.192979731644	0.0	-166.58689901125697
1100	-11994.585584451264	-190.0093661335182	-11804.576218317747	69.52911236593854	1939.4708876340615	199.44890387974203	56.82203923003252	1952.1779607699675	3.421204957436991	4.289169949822172	3.7611176082796045	5.025182554122902	0.2425398555111912	0.2500000001	0.25059190269782167	0.2568682416909871	0.339486829343044	0.38113876131451724	0.47766376403451416	0.3157185556871105	0.325035960177242	0.35924548413564744	0.9471556670613315	0.975107880531726	1.0777364524069424	0.1118122599964005	0.1118122599964004	-11804.576218317747	0.0	-160.552757743357
1200	-11637.360040840755	-180.97797298002186	-11456.382067860734	69.51158855071854	1939.4884114492816	199.95058660461956	56.82203923003252	1952.1779607699675	3.421204957436991	4.289169949822172	3.7611176082796045	7.1578246092690705	0.2425398555111912	0.259278468104079	0.24500674786345727	0.2531749285212725	0.28378298981910643	0.38113876131451724	0.5673199648753383	0.3157185556871105	0.3141832939647737	0.3700981503481158	0.9471556670613315	0.942549881894321	1.1102944510443473	0.06496333678603904	0.06496333678603902	-11456.382067860734	0.0	-160.50469097664222
