[104<->0]		1.95 us		3209.550107 (MillionBytes/sec)
[0<->105]		1.90 us		4477.294626 (MillionBytes/sec)
[106<->0]		2.67 us		5568.557244 (MillionBytes/sec)
[0<->107]		1.85 us		4477.294626 (MillionBytes/sec)
[108<->0]		1.95 us		5689.581515 (MillionBytes/sec)
[0<->109]		1.90 us		4492.386630 (MillionBytes/sec)
[110<->0]		1.93 us		3309.041089 (MillionBytes/sec)
[0<->111]		1.90 us		4454.169041 (MillionBytes/sec)
[112<->0]		2.69 us		5565.738435 (MillionBytes/sec)
[0<->113]		1.85 us		4484.599277 (MillionBytes/sec)
[114<->0]		1.96 us		5661.748856 (MillionBytes/sec)
[0<->115]		1.86 us		4467.743307 (MillionBytes/sec)
[116<->0]		1.97 us		5631.301551 (MillionBytes/sec)
[0<->117]		2.64 us		4533.133901 (MillionBytes/sec)
[118<->0]		1.91 us		3264.340912 (MillionBytes/sec)
[0<->119]		1.87 us		4544.845005 (MillionBytes/sec)
[120<->0]		1.93 us		3200.674268 (MillionBytes/sec)
[0<->121]		1.79 us		4473.196207 (MillionBytes/sec)
[122<->0]		1.88 us		3355.494401 (MillionBytes/sec)
[0<->123]		1.84 us		4475.472180 (MillionBytes/sec)
[124<->0]		1.89 us		5904.210647 (MillionBytes/sec)
[0<->125]		1.83 us		4660.428644 (MillionBytes/sec)
[126<->0]		2.47 us		4517.767346 (MillionBytes/sec)
[0<->127]		1.80 us		4486.886871 (MillionBytes/sec)
[128<->0]		2.57 us		5887.612465 (MillionBytes/sec)
[0<->129]		1.80 us		4471.377095 (MillionBytes/sec)
[130<->0]		1.87 us		5780.818232 (MillionBytes/sec)
[0<->131]		1.80 us		4642.227687 (MillionBytes/sec)
[132<->0]		1.87 us		3227.450291 (MillionBytes/sec)
[0<->133]		1.80 us		4467.743307 (MillionBytes/sec)
[134<->0]		1.74 us		3302.580544 (MillionBytes/sec)
[0<->135]		1.81 us		4467.743307 (MillionBytes/sec)
[136<->0]		2.56 us		5832.179434 (MillionBytes/sec)
[0<->137]		1.82 us		4662.404867 (MillionBytes/sec)
[138<->0]		1.73 us		3260.468909 (MillionBytes/sec)
[0<->139]		1.84 us		4797.171151 (MillionBytes/sec)
[140<->0]		1.73 us		3239.336018 (MillionBytes/sec)
[0<->141]		1.81 us		4660.428644 (MillionBytes/sec)
[1<->2]		1.23 us		5783.859168 (MillionBytes/sec)
[3<->1]		1.21 us		5530.742594 (MillionBytes/sec)
[1<->4]		1.21 us		5822.142588 (MillionBytes/sec)
[5<->1]		1.21 us		5601.179968 (MillionBytes/sec)
[1<->6]		1.21 us		5845.356873 (MillionBytes/sec)
[7<->1]		1.20 us		5625.539155 (MillionBytes/sec)
[1<->8]		1.19 us		5864.843994 (MillionBytes/sec)
[9<->1]		1.22 us		5720.664036 (MillionBytes/sec)
[1<->10]		1.20 us		5818.291455 (MillionBytes/sec)
[11<->1]		1.18 us		5685.903699 (MillionBytes/sec)
[1<->12]		1.19 us		5818.291455 (MillionBytes/sec)
[13<->1]		1.18 us		5699.166141 (MillionBytes/sec)
[1<->14]		1.17 us		5845.356873 (MillionBytes/sec)
[15<->1]		1.18 us		5770.957238 (MillionBytes/sec)
[1<->16]		1.17 us		5819.061274 (MillionBytes/sec)
[17<->1]		1.25 us		5695.475927 (MillionBytes/sec)
[1<->18]		1.24 us		5695.475927 (MillionBytes/sec)
[19<->1]		1.24 us		5664.665779 (MillionBytes/sec)
[1<->20]		1.24 us		5726.623061 (MillionBytes/sec)
[21<->1]		1.22 us		5708.042195 (MillionBytes/sec)
[1<->22]		1.24 us		5692.527195 (MillionBytes/sec)
[23<->1]		1.77 us		5609.753203 (MillionBytes/sec)
[1<->24]		1.78 us		5653.016081 (MillionBytes/sec)
[25<->1]		1.71 us		5890.766824 (MillionBytes/sec)
[1<->26]		1.70 us		5640.690664 (MillionBytes/sec)
[27<->1]		1.70 us		5884.461481 (MillionBytes/sec)
[1<->28]		1.70 us		5628.418878 (MillionBytes/sec)
[29<->1]		1.70 us		5890.766824 (MillionBytes/sec)
[1<->30]		1.71 us		5595.479022 (MillionBytes/sec)
[31<->1]		1.70 us		5874.244038 (MillionBytes/sec)
[1<->32]		1.70 us		5622.662377 (MillionBytes/sec)
[33<->1]		1.71 us		5894.714530 (MillionBytes/sec)
[1<->34]		1.70 us		5613.333135 (MillionBytes/sec)
[35<->1]		1.71 us		5874.244038 (MillionBytes/sec)
[1<->36]		1.70 us		5589.079313 (MillionBytes/sec)
[37<->1]		1.71 us		5900.250216 (MillionBytes/sec)
[1<->38]		1.69 us		5583.402959 (MillionBytes/sec)
[39<->1]		1.72 us		5877.384085 (MillionBytes/sec)
[1<->40]		1.70 us		5589.079313 (MillionBytes/sec)
[41<->1]		1.73 us		5887.612465 (MillionBytes/sec)
[1<->42]		1.69 us		5539.101399 (MillionBytes/sec)
[43<->1]		1.72 us		5890.766824 (MillionBytes/sec)
[1<->44]		1.70 us		5556.596982 (MillionBytes/sec)
[45<->1]		1.71 us		5907.382822 (MillionBytes/sec)
[1<->46]		1.70 us		5580.569104 (MillionBytes/sec)
[47<->1]		1.71 us		5761.884595 (MillionBytes/sec)
[1<->48]		1.77 us		5577.030828 (MillionBytes/sec)
[49<->1]		1.76 us		5634.187178 (MillionBytes/sec)
[1<->50]		1.77 us		5586.949328 (MillionBytes/sec)
[51<->1]		1.77 us		5568.557244 (MillionBytes/sec)
[1<->52]		1.80 us		5524.490028 (MillionBytes/sec)
[53<->1]		1.76 us		5610.468824 (MillionBytes/sec)
[1<->54]		1.77 us		5541.893285 (MillionBytes/sec)
[55<->1]		1.78 us		5662.477805 (MillionBytes/sec)
[1<->56]		1.76 us		4429.942094 (MillionBytes/sec)
[57<->1]		1.78 us		5574.910015 (MillionBytes/sec)
[1<->58]		1.77 us		5550.986383 (MillionBytes/sec)
[59<->1]		1.77 us		5695.475927 (MillionBytes/sec)
[1<->60]		1.70 us		5536.312325 (MillionBytes/sec)
[61<->1]		1.71 us		5901.041877 (MillionBytes/sec)
[1<->62]		1.70 us		5545.387103 (MillionBytes/sec)
[63<->1]		1.71 us		5893.924566 (MillionBytes/sec)
[1<->64]		1.69 us		5550.986383 (MillionBytes/sec)
[65<->1]		1.70 us		5883.674262 (MillionBytes/sec)
[1<->66]		1.68 us		5601.179968 (MillionBytes/sec)
[67<->1]		1.71 us		5897.085695 (MillionBytes/sec)
[1<->68]		1.69 us		5613.333135 (MillionBytes/sec)
[69<->1]		1.74 us		5890.766824 (MillionBytes/sec)
[1<->70]		1.70 us		5595.479022 (MillionBytes/sec)
[71<->1]		1.71 us		5860.936182 (MillionBytes/sec)
[1<->72]		1.70 us		5616.200372 (MillionBytes/sec)
[73<->1]		1.73 us		5884.461481 (MillionBytes/sec)
[1<->74]		1.70 us		5622.662377 (MillionBytes/sec)
[75<->1]		1.70 us		5867.973997 (MillionBytes/sec)
[1<->76]		1.70 us		5619.070539 (MillionBytes/sec)
[77<->1]		1.71 us		5874.244038 (MillionBytes/sec)
[1<->78]		1.70 us		5628.418878 (MillionBytes/sec)
[79<->1]		1.72 us		5887.612465 (MillionBytes/sec)
[1<->80]		1.69 us		5613.333135 (MillionBytes/sec)
[81<->1]		1.72 us		5871.107344 (MillionBytes/sec)
[1<->82]		1.70 us		5589.789668 (MillionBytes/sec)
[83<->1]		1.71 us		5878.169622 (MillionBytes/sec)
[1<->84]		1.70 us		5601.179968 (MillionBytes/sec)
[85<->1]		1.71 us		5874.244038 (MillionBytes/sec)
