# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Jun 16 17:07:33 PDT 2022 [seed=2020]
# -seed 2020 -beagle_double -beagle_gpu -save_every 1000000 -save_state Beast.chkpt -overwrite Sn_H1N1pdm_2009.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
3100	-20907.456381000167	-2.3243436663447676	-20905.132037333824	0.20650579570268754	2009.1964942042973	2.467453940151965	0.9937757729658053	9.117600351489314	11.3177567923618	0.31538988058666695	0.1865104806152916	0.2458062540853774	0.25229338471266405	0.031247677322669257	0.011045230863351942	0.011045230863351938	-20905.132037333824	0.0	0.2357447246617832
3200	-20859.50127463889	-3.45924185622816	-20856.04203278266	0.20650579570268754	2009.1964942042973	2.4575642384632816	0.9937757729658053	9.399177759095156	11.3177567923618	0.31538988058666695	0.1865104806152916	0.2458062540853774	0.25229338471266405	0.031247677322669257	0.011045230863351942	0.011045230863351942	-20856.04203278266	0.0	-0.8944388686401736
3300	-20855.681756433	-8.570073935902462	-20847.1116824971	0.20641022994215183	2009.196589770058	2.599903377872282	0.9937757729658053	8.315251472982721	11.3177567923618	0.31538988058666695	0.1865104806152916	0.2458062540853774	0.25229338471266405	0.031247677322669257	0.010886263138478538	0.010886263138478531	-20847.1116824971	0.0	-6.050351631410992
3400	-20843.274569666333	-11.451800160598957	-20831.822769505736	0.20884214479813362	2009.1941578552019	2.6592950744209136	0.9712721091922124	8.315251472982721	11.3177567923618	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.031247677322669257	0.008272902615324497	0.008272902615324495	-20831.822769505736	0.0	-8.708565635741403
3500	-20829.434480025957	-10.93755558861438	-20818.496924437342	0.19798300238169264	2009.2050169976183	2.606164661445365	1.0091612834547055	6.546061652561967	12.651334774672799	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.031247677322669257	0.008244135044512801	0.00824413504451279	-20818.496924437342	0.0	-8.32787767280261
3600	-20818.557401907765	-15.716481745432093	-20802.840920162333	0.20540613219200524	2009.197593867808	2.781857282108856	1.0091612834547055	6.546061652561967	12.651334774672799	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.031247677322669257	0.00794620194993527	0.007946201949935262	-20802.840920162333	0.0	-13.15720775376648
3700	-20783.258806382655	-16.07370481668328	-20767.18510156597	0.20519448784643568	2009.1978055121535	2.8175814308189033	0.9975766037137139	6.546061652561967	12.651334774672799	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.03345910143592224	0.008734446473232177	0.008734446473232176	-20767.18510156597	0.0	-13.516907689892165
3800	-20755.833694111756	-16.66796423025105	-20739.165729881504	0.20180428987604757	2009.201195710124	2.784193392141244	1.032337092101241	6.393653254581764	12.651334774672799	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.03345910143592224	0.008881180235553104	0.0088811802355531	-20739.165729881504	0.0	-13.555134847226043
3900	-20698.445332908566	-25.611676531576762	-20672.833656376988	0.20761408135720016	2009.1953859186428	3.0428943184705757	1.0072878335211983	5.775125943762471	12.651334774672799	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.03345910143592224	0.007592232825758638	0.00759223282575864	-20672.833656376988	0.0	-23.139461472215306
4000	-20689.01752424084	-31.048895593106955	-20657.968628647734	0.21658878718037292	2009.1864112128196	3.1870659717684706	1.0072878335211983	5.459464307225523	12.651334774672799	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.03345910143592224	0.007423822244537365	0.007423822244537373	-20657.968628647734	0.0	-28.61364093639201
4100	-20688.202878036478	-30.92390234927034	-20657.278975687208	0.21463552371109454	2009.1883644762888	3.145398799252698	0.9793221231871115	6.348916834321184	8.582616368193714	0.31538988058666695	0.20499496480493648	0.2458062540853774	0.23380890052301917	0.03345910143592224	0.00749138180104484	0.007491381801044839	-20657.278975687208	0.0	-29.028268162573724
4200	-20673.473494264148	-31.973519564398426	-20641.49997469975	0.21763972804325016	2009.1853602719568	3.22562161188358	0.9684664421830491	5.183910013733204	8.582616368193714	0.32753311758043363	0.20499496480493648	0.23366301709161075	0.23380890052301917	0.03833524071821921	0.007387974018546333	0.007387974018546337	-20641.49997469975	0.0	-29.8190975807156
4300	-20657.587187378656	-25.489294691253658	-20632.0978926874	0.2173194848640032	2009.185680515136	3.001851790325057	0.9684664421830491	7.871140894832038	8.695828280800791	0.32753311758043363	0.20499496480493648	0.23366301709161075	0.23380890052301917	0.03833524071821921	0.0075049337608586114	0.007504933760858619	-20632.0978926874	0.0	-23.24269845824615
4400	-20651.64570447507	-22.603962361044154	-20629.041742114026	0.22302876834893734	2009.179971231651	2.955229105071525	1.0796395709145599	7.6506993149483975	10.851564354322361	0.32753311758043363	0.20499496480493648	0.23366301709161075	0.23380890052301917	0.05374496886653082	0.007545812201493617	0.007545812201493616	-20629.041742114026	0.0	-17.30336072748241
4500	-20633.099138210266	-24.038093203066147	-20609.061045007198	0.2215469442510115	2009.181453055749	2.9741676670351116	1.0796395709145599	7.6506993149483975	10.851564354322361	0.32753311758043363	0.20499496480493648	0.23366301709161075	0.23380890052301917	0.05374496886653082	0.007545812201493617	0.007545812201493612	-20609.061045007198	0.0	-18.740542685115855
4600	-20630.54899516443	-27.105539975587664	-20603.443455188844	0.21468879872171898	2009.1883112012783	3.028312283668031	1.0796395709145599	7.201174929416087	10.851564354322361	0.32753311758043363	0.20499496480493648	0.23366301709161075	0.23380890052301917	0.05374496886653082	0.007545812201493617	0.007545812201493614	-20603.443455188844	0.0	-21.82109675547471
4700	-20619.087434428046	-23.14889052202934	-20595.938543906017	0.2559153786344699	2009.1470846213656	3.0374090922865045	1.0796395709145599	7.201174929416087	10.851564354322361	0.32753311758043363	0.20499496480493648	0.23366301709161075	0.23380890052301917	0.05256467669612587	0.007670226924137044	0.007670226924137048	-20595.938543906017	0.0	-17.859684320387707
4800	-20596.60019598056	-21.43287736727085	-20575.16731861329	0.25191953040479503	2009.1510804695952	2.9597380868997103	1.0796395709145599	7.201174929416087	10.851564354322361	0.3477640819390472	0.1847640004463229	0.23366301709161075	0.23380890052301917	0.05256467669612587	0.007777745308536501	0.007777745308536503	-20575.16731861329	0.0	-16.124036499260068
4900	-20586.24221357421	-21.86109405940706	-20564.3811195148	0.24700986642600564	2009.155990133574	3.0556741063365576	1.0408944195705732	7.201174929416087	10.851564354322361	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.05256467669612587	0.007777745308536501	0.007777745308536504	-20564.3811195148	0.0	-18.80226255012339
5000	-20576.959802481313	-23.98232237866352	-20552.97748010265	0.23139453487360867	2009.1716054651265	3.0894909882963555	1.0408944195705732	7.201174929416087	10.851564354322361	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.07210988493693628	0.007698458676718869	0.007698458676718861	-20552.97748010265	0.0	-20.895008627503923
5100	-20577.794537688107	-24.213054330744505	-20553.581483357364	0.23139453487360867	2009.1716054651265	3.0588225122509924	1.0428069973305993	7.201174929416087	10.851564354322361	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.07210988493693628	0.0067781416145362774	0.006778141614536272	-20553.581483357364	0.0	-21.108799511915922
5200	-20579.028057484884	-26.464968793234444	-20552.563088691648	0.23347521169534913	2009.1695247883047	3.157016572931762	1.0428069973305993	7.201174929416087	10.851564354322361	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.07210988493693628	0.007857687617997837	0.00785768761799784	-20552.563088691648	0.0	-23.298544264737085
5300	-20578.212390557892	-29.8866516078089	-20548.325738950083	0.23347521169534913	2009.1695247883047	3.1959972050624077	0.9601131043802593	7.080367527491485	10.851564354322361	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.04298897212748736	0.007857687617997837	0.007857687617997839	-20548.325738950083	0.0	-26.941722187558582
5400	-20550.943456272635	-30.87954616389799	-20520.063910108736	0.23347521169534913	2009.1695247883047	3.2030044382712655	0.9601131043802593	7.080367527491485	11.35498656491158	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.0379640077504249	0.007760819064507454	0.00776081906450745	-20520.063910108736	0.0	-27.86603718991583
5500	-20534.298839807405	-34.575141044588264	-20499.723698762817	0.22463890854740678	2009.1783610914526	3.280694748137854	0.9601131043802593	1.890540015067046	11.35498656491158	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.04798837804626368	0.006886527511960029	0.00688652751196003	-20499.723698762817	0.0	-31.66749038184924
5600	-20526.724011014107	-26.3883096078726	-20500.335701406235	0.22387493976165018	2009.1791250602384	3.1999339962567603	0.9995110778299355	6.051483327495676	10.003871712189287	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.04798837804626368	0.0069100276503274265	0.0069100276503274265	-20500.335701406235	0.0	-24.439781929203843
5700	-20496.002227361612	-23.965322121995825	-20472.036905239616	0.21740463377555033	2009.1855953662246	3.1505524217539094	0.9995110778299355	6.115922629829448	10.003871712189287	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.04798837804626368	0.007426622807760956	0.007426622807760955	-20472.036905239616	0.0	-21.971038740481724
5800	-20493.34919255039	-25.959675501895145	-20467.389517048498	0.2495385712901596	2009.1534614287098	3.2554197910441647	0.9968430842614855	6.381487371058433	14.107459142215644	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.04798837804626368	0.007426622807760956	0.007426622807760956	-20467.389517048498	0.0	-23.30794987919109
5900	-20485.371715224726	-22.016170168522535	-20463.355545056205	0.24582660341233079	2009.1571733965877	3.156683242267701	0.9968430842614855	6.381487371058433	14.107459142215644	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.04798837804626368	0.005885303591071262	0.005885303591071264	-20463.355545056205	0.0	-19.470950045574487
6000	-20467.124877183633	-20.010861436116187	-20447.114015747517	0.24534131441740648	2009.1576586855826	3.0984099443949513	0.9968430842614855	6.381487371058433	14.107459142215644	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.02698881223631698	0.007194619993337028	0.007194619993337035	-20447.114015747517	0.0	-17.3941725980392
6100	-20440.847051351488	-14.4152798159873	-20426.4317715355	0.23850529836517612	2009.1644947016348	2.8971370016722306	0.9968430842614855	6.381487371058433	10.138644207771438	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.06881639059009972	0.007400831503526819	0.007400831503526816	-20426.4317715355	0.0	-12.311653637342513
6200	-20442.870697892402	-14.785249923491936	-20428.08544796891	0.22337258866008483	2009.1796274113399	2.864330112769027	0.9968430842614855	6.381487371058433	10.138644207771438	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.06881639059009972	0.007400831503526819	0.007400831503526816	-20428.08544796891	0.0	-12.676172291478037
6300	-20446.118421059924	-20.182137517869933	-20425.936283542054	0.2054380786011301	2009.1975619213988	2.97581886160248	0.9968430842614855	6.381487371058433	10.138644207771438	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.13197190544120552	0.007203313937241371	0.007203313937241371	-20425.936283542054	0.0	-17.979129479945403
6400	-20435.906358193388	-19.331427224593867	-20416.574930968793	0.20715435157987572	2009.1958456484201	2.9517653198345326	1.022427234848986	6.381487371058433	12.338636564432052	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.12677265044994596	0.007203313937241371	0.007203313937241367	-20416.574930968793	0.0	-16.49262595557895
6500	-20435.417995181644	-17.240878674476065	-20418.17711650717	0.2046662985713903	2009.1983337014287	2.890825330824552	1.022427234848986	6.381487371058433	9.37900821921625	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.12677265044994596	0.007203313937241371	0.0072033139372413724	-20418.17711650717	0.0	-14.907803467547474
6600	-20431.69246006144	-16.642449311662922	-20415.050010749776	0.2046662985713903	2009.1983337014287	2.875245189437771	1.0304835256203777	6.381487371058433	9.37900821921625	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.07528635514947982	0.007203313937241371	0.007203313937241368	-20415.050010749776	0.0	-14.194309413231878
6700	-20430.67571924138	-12.516797768358154	-20418.15892147302	0.21392740074230934	2009.1890725992578	2.802203638166817	1.0304835256203777	6.381487371058433	9.37900821921625	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.051453458646345075	0.0072702756176505085	0.007270275617650505	-20418.15892147302	0.0	-10.099169740945742
6800	-20425.395471413278	-10.875856910396653	-20414.519614502882	0.2233591921769866	2009.179640807823	2.7565901572515945	1.0304835256203777	6.381487371058433	9.37900821921625	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.07514094610982418	0.008517244680379909	0.008517244680379905	-20414.519614502882	0.0	-8.320392974308168
6900	-20407.376914571178	-11.867954636094204	-20395.508959935083	0.22407955197222962	2009.1789204480278	2.798454351948143	1.0304835256203777	8.91139351376869	12.604356401198528	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.08581231113943535	0.008489863865932576	0.008489863865932574	-20395.508959935083	0.0	-8.716916928526052
7000	-20407.777352248955	-13.30764918587922	-20394.469703063074	0.2287528784522422	2009.1742471215478	2.830675240286904	1.0005261808575088	8.91139351376869	12.604356401198528	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.008489863865932576	0.008489863865932574	-20394.469703063074	0.0	-10.776805180345962
7100	-20397.46937229575	-13.352507066385368	-20384.116865229364	0.21596050761463811	2009.1870394923853	2.8020834772010215	0.9876099246983607	7.225572899736747	14.286307241889084	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.007322055513276669	0.007322055513276672	-20384.116865229364	0.0	-10.593428652778256
7200	-20392.710456960303	-12.966743374549718	-20379.743713585754	0.2142633377124378	2009.1887366622875	2.7941152375548692	0.9912761754554308	7.225572899736747	14.286307241889084	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.007322055513276669	0.007322055513276667	-20379.743713585754	0.0	-10.24171569045493
7300	-20380.63678351961	-12.152216386422216	-20368.48456713319	0.21287148242725007	2009.1901285175727	2.766052963524421	1.0221556414501485	8.359719655023444	14.286307241889084	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.007322055513276669	0.0073220555132766625	-20368.48456713319	0.0	-9.176734883553546
7400	-20357.71318882863	-11.262880152203284	-20346.450308676427	0.21287148242725007	2009.1901285175727	2.7491503719452743	0.9703407359805567	6.986348823806312	14.286307241889084	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.007322055513276669	0.007322055513276665	-20346.450308676427	0.0	-8.143352424922547
7500	-20363.316604251646	-14.078322712588772	-20349.238281539056	0.21287148242725007	2009.1901285175727	2.8204375310677188	0.9703407359805567	6.986348823806312	14.286307241889084	0.3477640819390472	0.1853972487510559	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.007322055513276669	0.007322055513276674	-20349.238281539056	0.0	-10.971073075516744
7600	-20350.936933258938	-12.8551000542146	-20338.081833204724	0.21168721122179632	2009.1913127887783	2.800105558411837	1.0079909379721184	6.986348823806312	11.408354490315002	0.33092441656821886	0.20223691412188424	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.006841745921307559	0.006841745921307562	-20338.081833204724	0.0	-10.60621039634942
7700	-20347.975039065645	-11.805901455942566	-20336.1691376097	0.21168721122179632	2009.1913127887783	2.7892133192574438	1.0079909379721184	6.986348823806312	11.408354490315002	0.33092441656821886	0.20223691412188424	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.006995706873920491	0.00699570687392049	-20336.1691376097	0.0	-9.543581274711055
7800	-20346.919482388214	-14.08219435811871	-20332.837288030096	0.19988602374180986	2009.2031139762582	2.79015286362951	1.0079909379721184	4.967570488710951	11.408354490315002	0.33092441656821886	0.20223691412188424	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.006995706873920491	0.006995706873920497	-20332.837288030096	0.0	-11.840223783718008
7900	-20343.123981496665	-14.467454890009993	-20328.656526606654	0.24089572216271346	2009.1621042778372	2.872627189023983	0.9589682619727476	9.412302524137388	11.408354490315002	0.33092441656821886	0.20223691412188424	0.23366301709161075	0.23317565221828618	0.02081813869366274	0.006995706873920491	0.006995706873920492	-20328.656526606654	0.0	-11.411078752351827
